"id","title","image_url","created_at","updated_at","director","detail","open_date"
1,"ケージ・ダイブ","http://eiga.k-img.com/images/movie/87277/photo/41d5d29a7ea46b41/320.jpg?1499062696","2020-06-30 14:31:52","2020-06-30 14:31:52","ジェラルド・ラシオナト","海を舞台に繰り広げられるサバイバルを描く「オープン・ウォーター」シリーズ第3作。オーストラリア沖でサメだらけの海に投げ出された観光客たちの運命を、事件から1週間後に海底で発見された水中カメラの映像で描いたファウンドフッテージ形式のサバイバルスリラー。2015年10月21日。アメリカ人のジョシュ、メーガン、ジェフはエクストリームゲーム番組のオーディションテープを撮影するため、オーストラリアのアデレード沖で「シャーク・ケージ・ダイビング」のツアーに参加していた。ところが彼らを乗せたクルーザーが高波にのまれて転覆し、参加者たちは海に投げ出されてしまう。ジョシュは周囲の人々が相次いでサメの餌食になっていく様子を小型水中カメラで撮影する。ジョシュたちは夜になって救命イカダを発見し、命の危機を脱したかに思えたが……。新宿シネマカリテの特集企画「カリコレ2017／カリテ・ファンタスティック！シネマコレクション2017」（17年7月15日～8月18日）上映作品。","2017年8月13日"
2,"フェリシーと夢のトウシューズ","http://eiga.k-img.com/images/movie/86684/photo/e488779e0ed18eb9/320.jpg?1499740950","2020-06-30 14:31:53","2020-06-30 14:31:53","エリック・サマー","エル・ファニングとデイン・デハーン、カナダの歌手カーリー・レイ・ジェプセンが声優を務める、バレリーナを夢見る少女の姿を描いたアニメーション作品。19世紀末のフランス。踊ることが大好きなフェリシーはバレリーナとしてパリ・オペラ座の舞台に立つことを夢見ていた。施設に暮らすフェリシーは親友のヴィクターに誘われ、施設を抜け出して憧れのパリを目指す。パリに到着し、ヴィクターとはぐれてしまったフェリシーがパリの街で偶然に見つけたのが憧れのミラノ座だった。バレエを習ったこともないフェリシーが、元バレリーナで今はオペラ座の掃除婦のオデットと出会い、情熱と勇気を胸に夢の舞台を目指す。パリ・オペラ座バレエ団芸術監督であるオーレリ・デュポンと、エトワールのジェレミー・ベランガールが振り付けを担当。エリック・サマー、エリック・ワリンが共同監督を務めた。","2017年8月12日"
3,"海底47m","http://eiga.k-img.com/images/movie/86190/photo/aa98ce6f5526600d/320.jpg?1496300656","2020-06-30 14:31:54","2020-06-30 14:31:54","ヨハネス・ロバーツ","水深47メートルの海に沈んだ檻の中で、人喰いザメの恐怖と対峙する姉妹の姿を描いたシチュエーションパニックスリラー。メキシコで休暇を過ごしていたリサとケイトの姉妹は、現地で知り合った男から、海に沈めた檻の中からサメを鑑賞する「シャークケイジダイビング」に誘われる。水深5メートルの檻の中からサメを間近に見て興奮する2人だったが、ワイヤーが切れて檻が一気に水深47メートルまで沈んでしまう。無線も届かず、ボンベに残された空気もわずかという極限状態の中、サメの餌食になる危険におびえながら、2人は生還を目指すが……。「塔の上のラプンツェル」で声優を務めたマンディ・ムーアと、テレビシリーズ「ヴァンパイア・ダイアリーズ」などで知られるクレア・ホルトが主人公姉妹を演じた。監督は「ストレージ24」のヨハネス・ロバーツ。","2017年8月12日"
4,"ハイドリヒを撃て！「ナチの野獣」暗殺作戦","http://eiga.k-img.com/images/movie/86851/photo/85704cea7bd6f6b2/320.jpg?1491358304","2020-06-30 14:31:55","2020-06-30 14:31:55","ショーン・エリス","ヒトラー、ヒムラーに次ぐ、ナチス第3の男ラインハルト・ハイドリヒの暗殺を、史実をもとに描いたサスペンス。第2次世界大戦直下、占拠地域をヨーロッパのほぼ全土に広げていたナチスで、ヒトラーの後継者と呼ばれたナチス高官ラインハルト・ハイドリヒは、ユダヤ人大量虐殺の実権を握っていた。ハイドリヒ暗殺計画を企てたイギリス政府とチェコスロバキア亡命政府は、ヨゼフ、ヤンら7人の暗殺部隊をパラシュートによってチェコ領内に送り込む。プラハの反ナチス組織や家族との接触など計画は進み、不可能に思われた暗殺のミッションは成功。しかし、ハイドリヒへの襲撃に憤慨したナチスは、常軌を逸した報復を展開する。ヨゼフ役を「ダークナイト」3部作、「インセプション」のキリアン・マーフィ、ヤン役を「フィフティ・シェイズ・オブ・グレイ」のジェイミー・ドーナンがそれぞれ演じる。","2017年8月12日"
5,"RE:BORN リボーン","http://eiga.k-img.com/images/movie/87343/photo/614e1e14b2217216/320.jpg?1498007655","2020-06-30 14:31:56","2020-06-30 14:31:56","下村勇二","「HiGH&LOW THE RED RAIN」のアクション監督,も務めたTAK∴こと坂口拓が最強の元傭兵役で主演した格闘アクション。かつて最強の傭兵部隊に所属しながら、特殊訓練の最中に自らの手で部隊を壊滅させてしまった敏郎。現在は石川県加賀市のコンビニで働きながら、少女サチとひっそり暮らしていた。そんなある日、町で不可解な殺人事件が起きる。それは、敏郎が壊滅させた部隊の指揮官ファントムが発した、敏郎への警告だった。共演には斎藤工、元「AKB48」の篠田麻里子ら豪華キャストが集結。「GANTZ」「図書館戦争」シリーズのアクション監督・下村勇二がメガホンをとり、米軍特殊部隊の格闘技教官も務める稲川義貴氏が戦術戦技スーパーバイザーとして参加した。","2017年8月12日"
6,"海の彼方","http://eiga.k-img.com/images/movie/86782/photo/eb83471baa036e3b/320.jpg?1496995253","2020-06-30 14:31:57","2020-06-30 14:31:57","黄インイク","沖縄・石垣島に移り住んだ台湾移民たちをテーマにしたドキュメンタリー。1930年代、日本統治時代に石垣島へと移住した台湾移民。パイナップル栽培、水牛耕作という技術革新を日本へもたらした台湾移民は、日本の敗戦によりアメリカの統治下となった沖縄で、1972年の返還まで台湾人とも日本人とも認められない無国籍になってしまった。そんな台湾移民のひとりである玉木玉代おばあは、石垣島を擁する八重山諸島で100人を超す大家族に囲まれていた。米寿を迎えたおばあは娘や孫たちに連れられ、長年の悲願であった台湾への里帰りを果たすが、70年という歳月は、想像よりはるかに大きな時代の変化をもたらせていた。","2017年8月12日"
7,"コスタリカの奇跡　積極的平和国家のつくり方","http://eiga.k-img.com/images/movie/87025/photo/0c7d3ffb139fe195/320.jpg?1499825157","2020-06-30 14:31:58","2020-06-30 14:31:58","マシュー・エディ","軍隊を廃止し、軍事予算を社会福祉に充てることで国民の幸福度の最大化に努めたコスタリカの実態を追ったドキュメンタリー。中米のコスタリカは1948年に常備軍を解体し、軍事予算をゼロにしたことで教育や医療の無料化を実現し、環境のための国家予算も確保。それによって地域の健全性や人々の幸福度、健康を図る「地球幸福度指数」の2016年のランキングでは世界一に輝いた。1948年から49年にかけて行われた軍隊廃止の流れを追いながら、コスタリカが教育、医療、環境にどのように投資していったのかを解説し、世界のモデルにもなりうる、同国の国家建設プロジェクトを明らかにする。","2017年8月12日"
8,"チャルカ　未来を紡ぐ糸車","http://eiga.k-img.com/images/movie/87378/photo/c670dc0f6cc0133f/320.jpg?1499050431","2020-06-30 14:31:59","2020-06-30 14:31:59","島田恵","人類が直面している「核のゴミ処分」の問題に切り込んだドキュメンタリー。2013年のデビュー作「福島　六ヶ所　未来への伝言」で注目された島田恵監督が手がけ、約10万年以上も毒性が消えないという放射性廃棄物の処理問題について考察。高レベル放射性廃棄物の地層処分研究施設がある北海道幌延町の隣町で酪農を営む久世薫嗣さん一家を中心に、もう1つの研究施設がある岐阜県東濃地方、フィンランドで建設中の世界初となる地下処分施設、原子力大国フランスの処分計画地などを取材したほか、新しいエネルギーや生き方にも言及し、人類の未来を問いかける。","2017年8月12日"
9,"デス・レース2000年","http://eiga.k-img.com/images/movie/46975/photo/a128b80c7c15da37/320.jpg?1497924016","2020-06-30 14:31:59","2020-06-30 14:31:59","ポール・バーテル","「B級映画の帝王」と呼ばれるロジャー・コーマンが1975年に製作し、後にリメイクなどもされたカルト的人気を誇るSFバイオレンスアクション。西暦2000年、独裁国家となったアメリカでは大陸横断レース「デス・レース」に国民が熱狂していた。そのレースは、走行中に人間を殺していくことでポイントが加算される文字通りの死のレースで、参加するレーサーたちは壮絶な死闘を繰り広げる。主人公の覆面レーサー、フランケンシュタインにデビッド・キャラダイン。「ロッキー」（76）以前のまだ無名だったシルベスター・スタローンも、レーサーの1人で出演している。日本では77年に劇場公開。2017年には、日本公開40周年を記念してリバイバル。","2017年8月12日"
10,"隣人のゆくえ　あの夏の歌声","http://eiga.k-img.com/images/movie/87223/photo/29fda6b687d32992/320.jpg?1496709969","2020-06-30 14:32:00","2020-06-30 14:32:00","柴口勲","山口県下関在住でサラリーマンをしながら映像制作活動も行っている柴口勲監督が、40人の中高生とともに作り上げたミュージカル映画。戦後70周年を機に製作され、太平洋戦争時の下関空襲で焼け落ちたものの再建された梅光学院を舞台に、下関空襲を記録した写真を取り入れるという条件以外は白紙の状態からスタート。中学1年生から高校2年生までの40人の生徒がワークショップなどを経て、出演や音楽、振り付け、撮影、録音、照明など、あらゆる制作の主体となった。ある日、忘れ物を取りに学校へ戻ったカンナは、校内に響く歌声に誘われてミュージカル部が練習している部屋にたどり着く。夏休みの間、観客としてミュージカル部に来てほしいと頼まれたカンナは、迷いながらもその部屋へ通うことになるのだが……。第3回新人監督映画祭の長編部門で準グランプリを受賞。第17回TAMA NEW WAVEのコンペティション部門に出品。","2017年8月12日"
